Kernel,Params,RMSE,BIC,R2
RQ,4,0.0008908694113354,-2782.9131237721300,0.9984402037113200
L1: (RQ) + RQ,6,0.0008741313173343,-2776.491768227900,0.9984982655359210
L2: ((RQ) + RQ) * LIN,7,0.0008715821841974,-2772.1332559873100,0.9985070114514260
